Date,RBC
2/12/2018,79.1
2/13/2018,79.24
2/14/2018,80.48
2/15/2018,80.6
2/16/2018,79.98
2/20/2018,79.45
2/21/2018,80.77
2/22/2018,80.5
2/23/2018,81.27
2/26/2018,80.88
2/27/2018,80.49
2/28/2018,78.89
3/1/2018,78.4
3/2/2018,77.52
3/5/2018,77.72
3/6/2018,78.21
3/7/2018,78.01
3/8/2018,78.72
3/9/2018,79.39
3/12/2018,79.33
3/13/2018,78.46
3/14/2018,78.41
3/15/2018,78.3
3/16/2018,78.09
3/19/2018,78.08
3/20/2018,78.42
3/21/2018,79.26
3/22/2018,77.83
3/23/2018,77.06
3/26/2018,77.65
3/27/2018,76.66
3/28/2018,76.32
3/29/2018,77.29
4/2/2018,76.49
4/3/2018,76.68
4/4/2018,76.38
4/5/2018,77.12
4/6/2018,76.27
4/9/2018,77.16
4/10/2018,77.79
4/11/2018,77.11
4/12/2018,76.88
4/13/2018,76.19
4/16/2018,76.67
4/17/2018,76.73
4/18/2018,76.88
4/19/2018,76.32
4/20/2018,76.29
4/23/2018,76.32
4/24/2018,75.27
4/25/2018,75.21
4/26/2018,75.47
4/27/2018,76.49
4/30/2018,76.05
5/1/2018,75.99
5/2/2018,75.86
5/3/2018,75.92
5/4/2018,76.13
5/7/2018,76.62
5/8/2018,76.35
5/9/2018,77.33
5/10/2018,78.4
5/11/2018,78.49
5/14/2018,78.83
5/15/2018,78.59
5/16/2018,79.16
5/17/2018,78.93
5/18/2018,78.03
5/21/2018,78.71
5/22/2018,79.33
5/23/2018,78.86
5/24/2018,76.91
5/25/2018,76.03
5/29/2018,74.43
5/30/2018,75.23
5/31/2018,75.59
6/1/2018,75.71
6/4/2018,76.49
6/5/2018,76.5
6/6/2018,76.61
6/7/2018,76.53
6/8/2018,77.19
6/11/2018,76.94
6/12/2018,76.88
6/13/2018,76.93
6/14/2018,76.31
6/15/2018,76.01
6/18/2018,76.11
6/19/2018,75.27
6/20/2018,75.27
6/21/2018,75.67
6/22/2018,76.3
6/25/2018,75
6/26/2018,74.85
6/27/2018,74.06
6/28/2018,74.46
6/29/2018,75.3
7/2/2018,74.85
7/3/2018,75.45
7/5/2018,75.8
7/6/2018,76.44
7/9/2018,76.84
7/10/2018,77.26
7/11/2018,76.17
7/12/2018,77.13
7/13/2018,77.1
7/16/2018,77.56
7/17/2018,77.3
7/18/2018,77.08
7/19/2018,76.43
7/20/2018,77.32
7/23/2018,77.34
7/24/2018,77.68
7/25/2018,77.4
7/26/2018,77.36
7/27/2018,77.42
7/30/2018,77.76
7/31/2018,77.97
8/1/2018,78.31
8/2/2018,77.95
8/3/2018,78.11
8/6/2018,78.01
8/7/2018,76.97
8/8/2018,77.71
8/9/2018,78.14
8/10/2018,77.12
8/13/2018,77.17
8/14/2018,78.06
8/15/2018,77.22
8/16/2018,77.45
8/17/2018,78.74
8/20/2018,78.91
8/21/2018,78.48
8/22/2018,80
8/23/2018,79.31
8/24/2018,79.56
8/27/2018,80.22
8/28/2018,80.27
8/29/2018,80.94
8/30/2018,80.75
8/31/2018,79.52
9/4/2018,78.78
9/5/2018,78.76
9/6/2018,79.16
9/7/2018,78.61
9/10/2018,78.76
9/11/2018,79.13
9/12/2018,79.43
9/13/2018,79.2
9/14/2018,79.08
9/17/2018,79.4
9/18/2018,80.09
9/19/2018,80.49
9/20/2018,81.06
9/21/2018,80.59
9/24/2018,80.55
9/25/2018,80.67
9/26/2018,80.21
9/27/2018,80.24
9/28/2018,80.19
10/1/2018,80.89
10/2/2018,80.23
10/3/2018,80.2
10/4/2018,79.96
10/5/2018,79.48
10/8/2018,79.14
10/9/2018,79.03
10/10/2018,77.14
10/11/2018,75.77
10/12/2018,75.78
10/15/2018,75.76
10/16/2018,76.88
10/17/2018,76.83
10/18/2018,75.69
10/19/2018,75.46
10/22/2018,75.01
10/23/2018,75.21
10/24/2018,72.48
10/25/2018,72.48
10/26/2018,72.14
10/29/2018,71.61
10/30/2018,72.75
10/31/2018,72.84
11/1/2018,73.21
11/2/2018,73.02
11/5/2018,72.97
11/6/2018,72.81
11/7/2018,73.2
11/8/2018,73.42
11/9/2018,72.61
11/12/2018,72.01
11/13/2018,72.22
11/14/2018,71.94
11/15/2018,72.54
11/16/2018,72.44
11/19/2018,71.91
11/20/2018,70.34
11/21/2018,72.39
11/23/2018,71.49
11/26/2018,71.02
11/27/2018,71.83
11/28/2018,73.96
11/29/2018,73.63
11/30/2018,73.26
12/3/2018,73.74
12/4/2018,72.97
12/6/2018,71.63
12/7/2018,71.01
12/10/2018,70.19
12/11/2018,69.76
12/12/2018,70.66
12/13/2018,70.56
12/14/2018,70.47
12/17/2018,69.74
12/18/2018,69.55
12/19/2018,68.7
12/20/2018,68.36
12/21/2018,66.93
12/24/2018,66.36
12/26/2018,68.44
12/27/2018,68.12
12/28/2018,68.16
12/31/2018,68.52
1/2/2019,68.92
1/3/2019,68.63
1/4/2019,70.32
1/7/2019,70.61
1/8/2019,70.6
1/9/2019,72.44
1/10/2019,72.95
1/11/2019,72.79
1/14/2019,72.88
1/15/2019,73.32
1/16/2019,73.83
1/17/2019,74.18
1/18/2019,74.32
1/22/2019,74.91
1/23/2019,73.91
1/24/2019,74.08
1/25/2019,74.89
1/28/2019,75
1/29/2019,75.21
1/30/2019,76.08
1/31/2019,76.18
2/1/2019,76.54
2/4/2019,76.73
2/5/2019,77.1
2/6/2019,76.82
2/7/2019,76.29
2/8/2019,76.06
2/11/2019,75.51
2/12/2019,76.09
2/13/2019,76.07
2/14/2019,75.79
2/15/2019,76.59
2/19/2019,77.07
2/20/2019,78.02
2/21/2019,77.3
2/22/2019,77.39
2/25/2019,77.59
2/26/2019,77.94
2/27/2019,78.47
2/28/2019,78.18
3/1/2019,77.81
3/4/2019,77.74
3/5/2019,77.75
3/6/2019,77.23
3/7/2019,76.67
3/8/2019,76.72
3/11/2019,76.92
3/12/2019,76.91
3/13/2019,77.34
3/14/2019,77.11
3/15/2019,77.64
3/18/2019,78.02
3/19/2019,77.91
3/20/2019,77.43
3/21/2019,76.65
3/22/2019,76.03
3/25/2019,76.11
3/26/2019,76.73
3/27/2019,76.12
3/28/2019,75.77
3/29/2019,75.55
4/1/2019,76.95
4/2/2019,77.23
4/3/2019,77.42
4/4/2019,77.45
4/5/2019,77.36
4/8/2019,77.65
4/9/2019,77.37
4/10/2019,77.64
4/11/2019,77.66
4/12/2019,78.5
4/15/2019,78.51
4/16/2019,79.13
4/17/2019,79.77
4/18/2019,80.01
4/22/2019,80.18
4/23/2019,80.26
4/24/2019,78.16
4/25/2019,78.16
4/26/2019,78.7
4/29/2019,79.28
