Date,TSLA
2/20/2019,302.56
2/21/2019,291.23
2/22/2019,294.71
2/25/2019,298.77
2/26/2019,297.86
2/27/2019,314.74
2/28/2019,319.88
3/1/2019,294.79
3/4/2019,285.36
3/5/2019,276.54
3/6/2019,276.24
3/7/2019,276.59
3/8/2019,284.14
3/11/2019,290.92
3/12/2019,283.36
3/13/2019,288.96
3/14/2019,289.96
3/15/2019,275.43
3/18/2019,269.49
3/19/2019,267.47
3/20/2019,273.6
3/21/2019,274.02
3/22/2019,264.53
3/25/2019,260.42
3/26/2019,267.77
3/27/2019,274.83
3/28/2019,278.62
3/29/2019,279.86
4/1/2019,289.18
4/2/2019,285.88
4/3/2019,291.81
4/4/2019,267.78
4/5/2019,274.96
4/8/2019,273.2
4/9/2019,272.31
4/10/2019,276.06
4/11/2019,268.42
4/12/2019,267.7
4/15/2019,266.38
4/16/2019,273.36
4/17/2019,271.23
4/18/2019,273.26
4/22/2019,262.75
4/23/2019,263.9
4/24/2019,258.66
4/25/2019,247.63
4/26/2019,235.14
4/29/2019,241.47
4/30/2019,238.69
5/1/2019,234.01
5/2/2019,244.1
5/3/2019,255.03
5/6/2019,255.34
5/7/2019,247.06
5/8/2019,244.84
5/9/2019,241.98
5/10/2019,239.52
5/13/2019,227.01
5/14/2019,232.31
5/15/2019,231.95
5/16/2019,228.33
5/17/2019,211.03
5/20/2019,205.36
5/21/2019,205.08
5/22/2019,192.73
5/23/2019,195.49
5/24/2019,190.63
5/28/2019,188.7
5/29/2019,189.86
5/30/2019,188.22
5/31/2019,185.16
6/3/2019,178.97
6/4/2019,193.6
6/5/2019,196.59
6/6/2019,205.95
6/7/2019,204.5
6/10/2019,212.88
6/11/2019,217.1
6/12/2019,209.26
6/13/2019,213.91
6/14/2019,214.92
6/17/2019,225.03
6/18/2019,224.74
6/19/2019,226.43
6/20/2019,219.62
6/21/2019,221.86
6/24/2019,223.64
6/25/2019,219.76
6/26/2019,219.27
6/27/2019,222.84
6/28/2019,223.46
7/1/2019,227.17
7/2/2019,224.55
7/3/2019,234.9
7/5/2019,233.1
7/8/2019,230.34
